Cluster,Condition,Time,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
drought.t48,drought,t48,ko02040,Flagellar assembly, 44/2587,  44/2587,6.887678926130096e-22,2.4864520923329647e-20,1.863298404226773e-20,K02386/K02387/K02388/K02389/K02390/K02391/K02392/K02393/K02394/K02395/K02396/K02397/K02398/K02399/K02400/K02401/K02402/K02403/K02405/K02406/K02407/K02408/K02409/K02410/K02411/K02412/K02413/K02414/K02415/K02416/K02417/K02418/K02419/K02420/K02421/K02422/K02423/K02424/K02556/K02557/K03086/K03092/K10941/K10943,44
drought.t48,drought,t48,ko00650,Butanoate metabolism, 67/2587,  67/2587,1.8330239969381994e-21,6.015651480860819e-20,4.508011169503514e-20,K00004/K00019/K00023/K00074/K00100/K00132/K00135/K00169/K00170/K00171/K00172/K00174/K00175/K00209/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00248/K00626/K00634/K00656/K00823/K01027/K01028/K01029/K01034/K01035/K01039/K01040/K01574/K01575/K01580/K01615/K01640/K01641/K01652/K01653/K01692/K01715/K01782/K01799/K01825/K01896/K01907/K03366/K03737/K03821/K04073/K05973/K07246/K07250/K07516/K07518/K08318/K14534/K16871/K17829/K17865/K18009/K18119/K18122/K18369,67
drought.t48,drought,t48,ko03070,Bacterial secretion system, 52/2587,  52/2587,4.070645296756756e-21,1.206326736459558e-19,9.039975835256055e-20,K02452/K02453/K02454/K02455/K02456/K02457/K02458/K02459/K02460/K02461/K02462/K03070/K03071/K03072/K03073/K03074/K03075/K03076/K03106/K03110/K03116/K03117/K03118/K03195/K03196/K03197/K03198/K03199/K03200/K03201/K03203/K03204/K03205/K03210/K03217/K03222/K03224/K03226/K03229/K03230/K11003/K11004/K11891/K11892/K11903/K11904/K11906/K11907/K11912/K11913/K12257/K12340,52
drought.t48,drought,t48,ko00010,Glycolysis / Gluconeogenesis, 65/2587,  65/2587,4.34411290137791e-21,1.206326736459558e-19,9.039975835256055e-20,K00001/K00016/K00114/K00121/K00128/K00129/K00131/K00134/K00138/K00150/K00161/K00162/K00163/K00169/K00170/K00171/K00172/K00174/K00175/K00382/K00627/K00844/K00845/K00850/K00873/K00886/K00895/K00927/K01006/K01007/K01086/K01222/K01596/K01610/K01622/K01623/K01624/K01689/K01785/K01792/K01803/K01810/K01834/K01835/K01895/K01905/K02446/K02779/K03737/K03841/K04041/K11532/K11645/K12957/K13810/K13953/K13954/K13979/K14028/K15633/K15634/K15635/K15778/K15916/K16370,65
drought.t48,drought,t48,ko00720,Carbon fixation pathways in prokaryotes, 66/2587,  66/2587,4.638518222315973e-20,1.1960750558971902e-18,8.963151752896278e-19,K00024/K00031/K00169/K00170/K00171/K00172/K00174/K00175/K00176/K00177/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00297/K00625/K00626/K00925/K01006/K01007/K01491/K01595/K01676/K01677/K01678/K01679/K01681/K01847/K01848/K01849/K01895/K01902/K01903/K01938/K01958/K01959/K01960/K01961/K01962/K01963/K02160/K03737/K05299/K05606/K08691/K09709/K13788/K14449/K14469/K14470/K14471/K14472/K14534/K15016/K15019/K15052/K15230/K15231/K15232/K18593/K18602/K18603,66
drought.t48,drought,t48,ko00020,Citrate cycle (TCA cycle), 43/2587,  43/2587,2.3795842575589243e-17,5.726866113191811e-16,4.291601082053639e-16,K00024/K00030/K00031/K00116/K00161/K00162/K00163/K00164/K00169/K00170/K00171/K00172/K00174/K00175/K00176/K00177/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00382/K00627/K00658/K01596/K01610/K01647/K01676/K01677/K01678/K01679/K01681/K01902/K01903/K01958/K01959/K01960/K03737/K15230/K15231,43
drought.t48,drought,t48,ko00680,Methane metabolism, 88/2587,  88/2587,2.5196429280196207e-16,5.684944356344269e-15,4.2601857401384375e-15,K00018/K00024/K00058/K00121/K00122/K00123/K00124/K00126/K00127/K00148/K00169/K00170/K00171/K00172/K00200/K00201/K00202/K00203/K00317/K00320/K00441/K00600/K00625/K00672/K00830/K00831/K00850/K00863/K00925/K01007/K01070/K01079/K01086/K01499/K01595/K01622/K01623/K01624/K01689/K01834/K01895/K02203/K02446/K03388/K03389/K03390/K03396/K03841/K04041/K05299/K05979/K06034/K06914/K07072/K07144/K07812/K08093/K08094/K08097/K08685/K08691/K09733/K10713/K10714/K10944/K10945/K10946/K11212/K11261/K11529/K11532/K11645/K11779/K11781/K12234/K13039/K13788/K13831/K14028/K14083/K14941/K15228/K15229/K15633/K15634/K15635/K16260/K16370,88
drought.t48,drought,t48,ko00051,Fructose and mannose metabolism, 60/2587,  60/2587,6.59824489942011e-16,1.4011567109945056e-14,1.0499993431275346e-14,K00008/K00064/K00066/K00594/K00844/K00847/K00848/K00850/K00863/K00882/K00895/K00966/K00971/K01086/K01218/K01622/K01623/K01624/K01628/K01629/K01711/K01729/K01803/K01805/K01808/K01809/K01813/K01818/K01820/K01840/K02377/K02446/K02768/K02770/K02793/K02794/K02795/K02796/K02800/K03332/K03841/K04041/K05947/K07026/K07046/K11532/K11645/K12661/K15778/K15856/K15916/K16011/K16370/K16881/K18333/K18334/K18335/K18336/K19270/K19355,60
drought.t48,drought,t48,ko04112,Cell cycle - Caulobacter, 27/2587,  27/2587,9.992731539047802e-16,2.004097825331254e-14,1.5018315821843772e-14,K01338/K01358/K02313/K02314/K02488/K02563/K02651/K03531/K03544/K03588/K03589/K03590/K06985/K07716/K11357/K11443/K11749/K13581/K13582/K13583/K13584/K13587/K13588/K13589/K13590/K13592/K13593,27
drought.t48,drought,t48,ko00230,Purine metabolism, 93/2587,  93/2587,4.183671655765082e-15,7.948976145953657e-14,5.956806734247237e-14,K00073/K00087/K00088/K00364/K00365/K00525/K00526/K00527/K00602/K00759/K00760/K00764/K00769/K00839/K00856/K00860/K00926/K00939/K00940/K00942/K00948/K00951/K00955/K00956/K00957/K00958/K01081/K01119/K01120/K01129/K01139/K01239/K01241/K01428/K01429/K01430/K01466/K01477/K01483/K01486/K01487/K01488/K01515/K01518/K01524/K01525/K01588/K01589/K01756/K01768/K01769/K01835/K01839/K01923/K01933/K01939/K01945/K01951/K01952/K02083/K02428/K02566/K03651/K03783/K03784/K03787/K04765/K05873/K06863/K06928/K06952/K06966/K07023/K07127/K08289/K08722/K09769/K11175/K11177/K11178/K13479/K13481/K13482/K13483/K13485/K14048/K14977/K15778/K16840/K16841/K16856/K19572/K19710,93
drought.t48,drought,t48,ko00240,Pyrimidine metabolism, 58/2587,  58/2587,8.83602980293917e-15,1.5949033794305203e-13,1.1951892943975614e-13,K00226/K00254/K00525/K00526/K00527/K00560/K00609/K00756/K00757/K00758/K00761/K00762/K00857/K00876/K00940/K00943/K00945/K01081/K01119/K01464/K01465/K01485/K01489/K01493/K01494/K01518/K01520/K01591/K01937/K01955/K01956/K02566/K02823/K02825/K03465/K03783/K03784/K03787/K04765/K06016/K06287/K06952/K06966/K07023/K07043/K08722/K09018/K09019/K09020/K09021/K09023/K09024/K09769/K09903/K16328/K16329/K17723/K17828,58
drought.t48,drought,t48,ko00360,Phenylalanine metabolism, 45/2587,  45/2587,3.221404798915813e-14,5.537748249564802e-13,4.149879866272501e-13,K00055/K00074/K00129/K00146/K00274/K00276/K00285/K00457/K00500/K00529/K00812/K00813/K00817/K00824/K00832/K01426/K01451/K01593/K01666/K01692/K01912/K02554/K02609/K02610/K02611/K02612/K02613/K02614/K02615/K02618/K03782/K03825/K04073/K05708/K05710/K05712/K05713/K05714/K10775/K11358/K13574/K15866/K18361/K18362/K18363,45
drought.t48,drought,t48,ko01250,Biosynthesis of nucleotide sugars, 88/2587,  88/2587,1.1226212563294936e-13,1.842119425158851e-12,1.3804481477353103e-12,K00012/K00066/K00067/K00075/K00469/K00523/K00790/K00820/K00844/K00845/K00847/K00849/K00884/K00886/K00963/K00965/K00966/K00971/K00972/K00973/K00975/K00978/K00979/K00983/K00992/K01627/K01654/K01709/K01710/K01711/K01784/K01790/K01791/K01809/K01810/K01835/K01840/K01854/K02377/K02472/K02473/K02474/K02805/K03270/K03271/K03272/K03273/K03274/K03431/K04042/K05304/K06041/K06118/K07031/K07102/K07806/K08678/K08679/K09001/K10011/K12446/K12448/K12452/K12454/K13010/K13016/K13017/K13018/K13019/K13020/K13310/K13317/K13810/K15669/K15778/K15856/K15894/K15897/K15916/K16011/K16190/K16704/K17716/K17947/K18429/K18430/K19068/K19180,88
drought.t48,drought,t48,ko00280,"Valine, leucine and isoleucine degradation", 42/2587,  42/2587,1.2193663474834412e-13,1.913875006267488e-12,1.4342203720972283e-12,K00020/K00128/K00140/K00166/K00167/K00187/K00248/K00249/K00253/K00263/K00382/K00626/K00632/K00822/K00826/K00827/K01027/K01028/K01029/K01640/K01641/K01692/K01782/K01825/K01847/K01848/K01849/K01907/K01965/K01966/K01968/K01969/K05606/K07250/K07508/K09478/K09699/K11263/K11381/K13766/K18660/K18661,42
drought.t48,drought,t48,ko00270,Cysteine and methionine metabolism, 60/2587,  60/2587,1.8075341380520984e-13,2.7188325993200312e-12,2.037439795962234e-12,K00003/K00016/K00024/K00058/K00133/K00456/K00544/K00547/K00548/K00549/K00558/K00640/K00641/K00651/K00772/K00789/K00797/K00812/K00813/K00826/K00827/K00831/K00832/K00837/K00899/K00928/K01011/K01243/K01251/K01505/K01611/K01697/K01738/K01739/K01740/K01752/K01758/K01760/K01761/K01919/K01920/K05396/K08963/K08964/K08967/K09758/K09880/K10764/K11358/K12339/K12524/K12526/K12960/K14155/K16843/K16844/K16845/K16846/K17217/K17950,60
drought.t48,drought,t48,ko00030,Pentose phosphate pathway, 47/2587,  47/2587,3.01225131662966e-13,4.349690901213229e-12,3.2595730036792535e-12,K00033/K00034/K00036/K00090/K00117/K00131/K00615/K00616/K00850/K00851/K00852/K00874/K00895/K00948/K01053/K01057/K01086/K01619/K01621/K01622/K01623/K01624/K01625/K01690/K01783/K01807/K01808/K01810/K01835/K01839/K02446/K03738/K03841/K04041/K06151/K06152/K07404/K08093/K08094/K11529/K11532/K11645/K13810/K13831/K15778/K15916/K16370,47
drought.t48,drought,t48,ko00920,Sulfur metabolism, 55/2587,  55/2587,4.769668523938029e-13,6.622501296698571e-12,4.9627725127614316e-12,K00184/K00185/K00299/K00380/K00381/K00387/K00390/K00392/K00394/K00395/K00640/K00641/K00651/K00860/K00955/K00956/K00957/K00958/K01011/K01082/K01738/K01739/K02045/K02046/K02047/K02048/K02439/K03119/K04091/K05301/K06881/K07306/K08352/K10764/K15552/K15553/K15554/K15555/K15762/K15765/K16937/K16968/K16969/K17217/K17218/K17222/K17223/K17224/K17225/K17226/K17227/K17228/K17229/K17230/K17285,55
drought.t48,drought,t48,ko00640,Propanoate metabolism, 50/2587,  50/2587,6.808064054595247e-13,9.102633791514385e-12,6.821335134623698e-12,K00016/K00140/K00166/K00167/K00169/K00170/K00171/K00172/K00232/K00248/K00382/K00625/K00656/K00822/K00823/K00925/K01026/K01578/K01659/K01692/K01699/K01720/K01734/K01782/K01825/K01847/K01848/K01849/K01895/K01902/K01903/K01905/K01908/K01961/K01962/K01963/K01965/K01966/K02160/K03417/K05606/K07250/K09699/K09788/K11263/K11264/K11381/K13788/K13920/K19745,50
drought.t48,drought,t48,ko00330,Arginine and proline metabolism, 54/2587,  54/2587,7.699965017750254e-13,9.927454897885149e-12,7.439439885570734e-12,K00128/K00137/K00147/K00273/K00274/K00286/K00294/K00316/K00318/K00472/K00542/K00613/K00657/K00673/K00797/K00812/K00813/K00819/K00824/K00931/K01259/K01426/K01470/K01473/K01474/K01476/K01480/K01484/K01485/K01581/K01583/K01584/K01585/K01611/K01750/K01777/K02626/K05526/K06447/K08688/K09123/K09251/K09471/K09472/K10536/K10794/K11358/K12251/K12254/K12256/K13747/K13821/K18123/K18384,54
drought.t48,drought,t48,ko00910,Nitrogen metabolism, 39/2587,  39/2587,9.180415183394596e-13,1.1428034073122238e-11,8.56394447234995e-12,K00261/K00262/K00265/K00266/K00284/K00362/K00363/K00366/K00367/K00368/K00370/K00371/K00372/K00374/K00376/K00459/K00926/K01455/K01501/K01673/K01674/K01725/K01915/K02305/K02567/K02568/K02575/K03385/K04561/K10944/K10945/K10946/K15371/K15576/K15577/K15578/K15579/K15864/K15876,39
drought.t48,drought,t48,ko00250,"Alanine, aspartate and glutamate metabolism", 39/2587,  39/2587,2.3002345964292835e-11,2.7679489643699044e-10,2.0742466360783364e-10,K00135/K00259/K00261/K00262/K00265/K00266/K00278/K00294/K00609/K00764/K00812/K00813/K00820/K00823/K00827/K00830/K01424/K01425/K01580/K01744/K01755/K01756/K01779/K01914/K01915/K01939/K01940/K01953/K01955/K01956/K07250/K09758/K11358/K13051/K13821/K14260/K15371/K16871/K19244,39
drought.t48,drought,t48,ko00710,Carbon fixation in photosynthetic organisms, 25/2587,  25/2587,1.1840463003024027e-10,1.3788410142231205e-9,1.0332763978869864e-9,K00024/K00029/K00134/K00150/K00615/K00855/K00927/K01006/K01086/K01595/K01601/K01602/K01610/K01621/K01623/K01624/K01783/K01803/K01807/K01808/K02446/K03841/K04041/K11532/K11645,25
drought.t48,drought,t48,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis", 38/2587,  38/2587,2.0551098555476035e-10,2.3184208057896404e-9,1.7373790555122834e-9,K00014/K00220/K00500/K00766/K00800/K00812/K00813/K00817/K00832/K00891/K01609/K01626/K01657/K01658/K01695/K01696/K01713/K01735/K01736/K01817/K03785/K03786/K03856/K04092/K04093/K04516/K04517/K04518/K05358/K06001/K06208/K11358/K13503/K13832/K13853/K14170/K14187/K18240,38
drought.t48,drought,t48,ko00220,Arginine biosynthesis, 34/2587,  34/2587,2.3598936497435057e-10,2.581580628961835e-9,1.934585862788137e-9,K00145/K00261/K00262/K00611/K00619/K00620/K00812/K00813/K00818/K00821/K00926/K00930/K01425/K01428/K01429/K01430/K01438/K01457/K01476/K01478/K01755/K01915/K01940/K01941/K05828/K05829/K05830/K05831/K09065/K11358/K14048/K14260/K14682/K15371,34
drought.t48,drought,t48,ko02030,Bacterial chemotaxis, 20/2587,  20/2587,4.5821822248977697e-10,4.865199362317926e-9,3.645884928169433e-9,K00575/K02410/K02416/K02417/K02556/K02557/K03406/K03407/K03408/K03409/K03410/K03411/K03412/K03413/K03414/K03415/K05874/K10439/K12368/K13924,20
drought.t48,drought,t48,ko01220,Degradation of aromatic compounds, 81/2587,  81/2587,4.719598035257358e-10,4.8679282592225895e-9,3.6479299099583184e-9,K00001/K00055/K00121/K00141/K00151/K00217/K00446/K00448/K00449/K00455/K00480/K00481/K00483/K00529/K01053/K01055/K01607/K01617/K01666/K01821/K01826/K01856/K01857/K02554/K03186/K03379/K03381/K04073/K04105/K04107/K04108/K04109/K04112/K04113/K04114/K04115/K05549/K05550/K05708/K05710/K05712/K05713/K05714/K05921/K06912/K07104/K07535/K07536/K07537/K07538/K07539/K07543/K07544/K07546/K07550/K10217/K10219/K10619/K10621/K10622/K13953/K13954/K14519/K14585/K14727/K15750/K15751/K15760/K15762/K15765/K16049/K16050/K16303/K16304/K17754/K18067/K18068/K18069/K18074/K18364/K18365,81
drought.t48,drought,t48,ko00970,Aminoacyl-tRNA biosynthesis, 35/2587,  35/2587,1.477143182467369e-9,1.4812463579742229e-8,1.1100169529067656e-8,K00604/K01042/K01866/K01867/K01868/K01869/K01870/K01872/K01873/K01874/K01875/K01876/K01878/K01879/K01880/K01881/K01883/K01884/K01885/K01886/K01887/K01889/K01890/K01892/K01893/K02433/K02434/K02435/K03330/K04566/K04567/K09482/K09698/K09759/K14164,35
drought.t48,drought,t48,ko00500,Starch and sucrose metabolism, 48/2587,  48/2587,1.6624820326175644e-9,1.6220432804728126e-8,1.2155274036492578e-8,K00688/K00690/K00693/K00694/K00696/K00697/K00700/K00702/K00703/K00705/K00844/K00845/K00847/K00963/K00975/K00978/K01087/K01176/K01178/K01179/K01187/K01193/K01194/K01210/K01222/K01236/K01810/K01835/K01838/K02438/K02761/K05342/K05343/K05349/K05350/K06044/K07024/K07405/K13057/K13810/K15778/K15916/K16055/K16147/K16148/K16149/K16150/K19668,48
drought.t48,drought,t48,ko00340,Histidine metabolism, 28/2587,  28/2587,1.9146695632222495e-9,1.818936085061137e-8,1.3630750076125157e-8,K00013/K00128/K00129/K00274/K00603/K00765/K00817/K01089/K01458/K01468/K01479/K01496/K01523/K01693/K01712/K01745/K01814/K02500/K02501/K02502/K04486/K05602/K05603/K07008/K11755/K13990/K18911/K18912,28
drought.t48,drought,t48,ko00540,Lipopolysaccharide biosynthesis, 33/2587,  33/2587,3.83383495520908e-9,3.548754920078149e-8,2.6593672968656775e-8,K00677/K00748/K00912/K00979/K01627/K02517/K02527/K02535/K02536/K02841/K02843/K02844/K02847/K02848/K02849/K03269/K03270/K03271/K03272/K03273/K03274/K03760/K06041/K07031/K07264/K09778/K09949/K11211/K12973/K12976/K12979/K15669/K16363,33
drought.t48,drought,t48,ko03010,Ribosome, 58/2587,  58/2587,6.035052178699962e-9,5.446634591276716e-8,4.0816010787523426e-8,K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02884/K02886/K02887/K02888/K02890/K02892/K02895/K02897/K02899/K02902/K02904/K02906/K02907/K02909/K02910/K02911/K02913/K02914/K02916/K02919/K02926/K02931/K02933/K02935/K02939/K02945/K02946/K02948/K02950/K02952/K02954/K02956/K02959/K02961/K02963/K02965/K02967/K02968/K02970/K02976/K02982/K02986/K02987/K02988/K02990/K02991/K02992/K02994/K02996,58
drought.t48,drought,t48,ko00627,Aminobenzoate degradation, 39/2587,  39/2587,6.5598326783015695e-9,5.77585267528504e-8,4.3283106503812674e-8,K00141/K01034/K01035/K01101/K01426/K01501/K01512/K01576/K01692/K01721/K01781/K03186/K03380/K03862/K03863/K04099/K04100/K04101/K04105/K04107/K04108/K04109/K04110/K08295/K09461/K10219/K10221/K14333/K14338/K15054/K15060/K15061/K15063/K15064/K15065/K15066/K16319/K16320/K18541,39
drought.t48,drought,t48,ko00860,Porphyrin and chlorophyll metabolism, 56/2587,  56/2587,1.4603003839684704e-8,1.2551629490776614e-7,9.405944829070097e-8,K00228/K00230/K00231/K00595/K00643/K00768/K00798/K01195/K01599/K01698/K01719/K01749/K01772/K01845/K01885/K02188/K02189/K02191/K02224/K02226/K02227/K02229/K02230/K02231/K02232/K02233/K02259/K02302/K02303/K02304/K02492/K02495/K02496/K03394/K03399/K03403/K03404/K03405/K03428/K03594/K03795/K04034/K04035/K04720/K05934/K05936/K06042/K07226/K08100/K08973/K09882/K09883/K13542/K13786/K14735/K19221,56
drought.t48,drought,t48,ko00790,Folate biosynthesis, 38/2587,  38/2587,3.788077211835133e-8,3.180222961563914e-7,2.3831966791716745e-7,K00287/K00500/K00796/K00950/K01077/K01113/K01495/K01497/K01633/K01664/K01665/K01724/K01737/K02619/K03342/K03635/K03637/K03638/K03639/K03750/K03752/K03793/K03831/K06879/K06897/K06920/K06984/K07141/K07142/K08310/K09007/K09457/K10026/K11754/K13941/K13950/K14652/K18482,38
drought.t48,drought,t48,ko00541,O-Antigen nucleotide sugar biosynthesis, 42/2587,  42/2587,8.336712347293168e-8,6.749455177301673e-7,5.057909259561249e-7,K00012/K00067/K00523/K00963/K00971/K00973/K00978/K00983/K01654/K01709/K01710/K01711/K01784/K01790/K01791/K01809/K01840/K01854/K02377/K02472/K02473/K02474/K02805/K04042/K08679/K12452/K12454/K13010/K13015/K13016/K13017/K13018/K13019/K13020/K15856/K15894/K15897/K16011/K16704/K17716/K19068/K19180,42
drought.t48,drought,t48,ko00350,Tyrosine metabolism, 38/2587,  38/2587,8.413448281954995e-8,6.749455177301673e-7,5.057909259561249e-7,K00001/K00055/K00121/K00129/K00135/K00146/K00151/K00274/K00276/K00422/K00450/K00451/K00455/K00457/K00483/K00505/K00545/K00812/K00813/K00817/K00832/K01555/K01593/K01668/K01800/K01801/K01826/K02509/K02510/K05921/K10219/K11358/K13574/K13953/K13954/K16164/K16165/K16171,38
drought.t48,drought,t48,ko00660,C5-Branched dibasic acid metabolism, 19/2587,  19/2587,9.055689455338484e-8,7.106747594298245e-7,5.325657185405013e-7,K00052/K01575/K01652/K01653/K01703/K01704/K01846/K01902/K01903/K08691/K09011/K10218/K14449/K14471/K14472/K18289/K18290/K18292/K19268,19
drought.t48,drought,t48,ko00130,Ubiquinone and other terpenoid-quinone biosynthesis, 29/2587,  29/2587,3.225520944320721e-7,2.477474597659107e-6,1.8565708458912101e-6,K00355/K00457/K00568/K01075/K01661/K01911/K02548/K02549/K02551/K02552/K03179/K03182/K03183/K03185/K03186/K03809/K05928/K06134/K08680/K11782/K11783/K11784/K11785/K18240/K18285/K18286/K18800/K19222/K19267,29
drought.t48,drought,t48,ko01210,2-Oxocarboxylic acid metabolism, 36/2587,  36/2587,4.5664965958611523e-7,3.4343859814705746e-6,2.5736614586322726e-6,K00030/K00031/K00052/K00053/K00133/K00145/K00619/K00620/K00812/K00813/K00818/K00821/K00826/K00836/K00928/K00930/K01438/K01647/K01649/K01652/K01653/K01681/K01687/K01703/K01704/K01705/K05825/K05827/K05828/K05829/K05830/K05831/K09011/K11358/K14260/K14682,36
drought.t48,drought,t48,ko00190,Oxidative phosphorylation, 74/2587,  74/2587,4.7517784495969046e-7,3.5008000414377196e-6,2.6234308518719755e-6,K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00330/K00331/K00332/K00333/K00334/K00335/K00336/K00337/K00338/K00339/K00340/K00341/K00342/K00343/K00404/K00405/K00406/K00407/K00410/K00411/K00412/K00413/K00425/K00426/K00937/K01507/K01535/K02108/K02109/K02110/K02111/K02112/K02113/K02114/K02115/K02117/K02118/K02119/K02120/K02121/K02123/K02124/K02258/K02259/K02274/K02275/K02276/K02277/K02297/K02298/K02299/K03885/K03886/K03889/K03890/K03891/K05577/K05586/K05587/K05588/K06019/K08738/K13378/K15408/K15862/K15986,74
drought.t48,drought,t48,ko00984,Steroid degradation, 12/2587,  12/2587,8.049687582651823e-7,5.811874434674616e-6,4.355304649982144e-6,K01822/K03333/K05898/K15981/K15982/K15983/K16046/K16047/K16048/K16049/K16050/K16051,12
drought.t48,drought,t48,ko00061,Fatty acid biosynthesis, 21/2587,  21/2587,2.0675653678906032e-6,1.46351195648727e-5,1.0967271404497111e-5,K00059/K00208/K00209/K00645/K00647/K00648/K01071/K01716/K01897/K01961/K01962/K01963/K02160/K02371/K02372/K03921/K09458/K10780/K11263/K16363/K18660,21
drought.t48,drought,t48,ko00300,Lysine biosynthesis, 24/2587,  24/2587,2.2570331054558967e-6,1.566901828979959e-5,1.174205481988189e-5,K00003/K00133/K00215/K00290/K00674/K00821/K00928/K01439/K01586/K01705/K01714/K01778/K01928/K01929/K05825/K05827/K05828/K05829/K05830/K05831/K10206/K12524/K12526/K14267,24
drought.t48,drought,t48,ko00622,Xylene degradation, 19/2587,  19/2587,3.0330347965738996e-6,2.0658972859682598e-5,1.5481428852422883e-5,K00055/K00141/K00446/K01617/K01666/K01821/K02554/K04073/K05549/K05550/K07104/K10217/K10619/K10621/K10622/K16303/K16304/K18364/K18365,19
drought.t48,drought,t48,ko00760,Nicotinate and nicotinamide metabolism, 39/2587,  39/2587,4.210200065826839e-6,2.814596710673128e-5,2.1092035417495082e-5,K00135/K00278/K00322/K00324/K00325/K00763/K00767/K00858/K00952/K00969/K01081/K01239/K01799/K01916/K01950/K02566/K03426/K03462/K03517/K03742/K03743/K03783/K03784/K03787/K04765/K06989/K08281/K12410/K13995/K14974/K15358/K18028/K18029/K18030/K19187/K19188/K19189/K19190/K19191,39
drought.t48,drought,t48,ko00900,Terpenoid backbone biosynthesis, 27/2587,  27/2587,4.698519508386309e-6,3.083937350049923e-5,2.3110421313976678e-5,K00021/K00054/K00099/K00587/K00626/K00795/K00805/K00806/K00869/K00919/K00938/K00991/K01597/K01641/K01662/K01770/K01823/K02523/K03526/K03527/K06013/K06981/K12503/K12506/K13787/K13789/K15891,27
drought.t48,drought,t48,ko00290,"Valine, leucine and isoleucine biosynthesis", 13/2587,  13/2587,5.142525664390011e-6,3.315092437222846e-5,2.484265217571866e-5,K00052/K00053/K00263/K00826/K01649/K01652/K01653/K01687/K01703/K01704/K01754/K09011/K14260,13
drought.t48,drought,t48,ko00770,Pantothenate and CoA biosynthesis, 22/2587,  22/2587,5.953999509792626e-6,3.7708663562019966e-5,2.8258132484149678e-5,K00053/K00077/K00128/K00606/K00826/K00859/K00867/K00954/K00997/K01464/K01579/K01652/K01653/K01687/K01918/K01922/K03525/K04765/K06133/K09735/K13038/K17723,22
drought.t48,drought,t48,ko02025,Biofilm formation - Pseudomonas aeruginosa, 36/2587,  36/2587,6.470802423379805e-6,4.02751668075881e-5,3.0181419651698917e-5,K01657/K01658/K01768/K02398/K02405/K02657/K02658/K02659/K02660/K03563/K03651/K06596/K06598/K07689/K10914/K10941/K11444/K11890/K11891/K11893/K11895/K11900/K11901/K11902/K11903/K11907/K11912/K11913/K12990/K13487/K13488/K13489/K13490/K13491/K16011/K18101,36
drought.t48,drought,t48,ko01212,Fatty acid metabolism, 34/2587,  34/2587,8.547333990696957e-6,5.2298094417654264e-5,3.919116566653199e-5,K00059/K00208/K00209/K00232/K00248/K00249/K00507/K00626/K00632/K00645/K00647/K00648/K01692/K01716/K01782/K01825/K01897/K01961/K01962/K01963/K02160/K02371/K02372/K03921/K06445/K07508/K07516/K08764/K09458/K09478/K10780/K11263/K16363/K18660,34
drought.t48,drought,t48,ko00450,Selenocompound metabolism, 18/2587,  18/2587,8.768812473933373e-6,5.2759021718165793e-5,3.953657554036626e-5,K00384/K00548/K00549/K00955/K00956/K00957/K00958/K01008/K01042/K01739/K01758/K01760/K01761/K01874/K11717/K12527/K12528/K14155,18
drought.t48,drought,t48,ko00730,Thiamine metabolism, 19/2587,  19/2587,9.362020377577822e-6,5.5404743545993344e-5,4.151922755888698e-5,K00788/K00878/K00939/K00941/K00946/K00949/K01077/K01078/K01662/K03146/K03147/K03149/K03150/K03151/K03153/K03707/K04487/K06928/K06949,19
drought.t48,drought,t48,ko00780,Biotin metabolism, 14/2587,  14/2587,1.6513827861132676e-5,9.615309448175639e-5,7.205524211054495e-5,K00059/K00208/K00647/K00652/K00833/K01012/K01935/K02169/K02170/K02372/K03524/K08351/K09458/K16593,14
drought.t48,drought,t48,ko00550,Peptidoglycan biosynthesis, 24/2587,  24/2587,1.9590703236938053e-5,1.1225783918308948e-4,8.41238217525995e-5,K00075/K00790/K00806/K01000/K01921/K01924/K01925/K01928/K01929/K02563/K03587/K03814/K05364/K05365/K05366/K05367/K05515/K06153/K07009/K07258/K07259/K07260/K08384/K19302,24
drought.t48,drought,t48,ko00410,beta-Alanine metabolism, 21/2587,  21/2587,2.4094445436904982e-5,1.3381684311881075e-4,1.0027971623132924e-4,K00128/K00129/K00137/K00140/K00232/K00248/K00276/K00316/K00822/K00823/K01464/K01578/K01579/K01580/K01692/K01782/K01825/K01918/K07250/K15372/K17723,21
drought.t48,drought,t48,ko03430,Mismatch repair, 21/2587,  21/2587,2.4094445436904982e-5,1.3381684311881075e-4,1.0027971623132924e-4,K01141/K01972/K02337/K02338/K02339/K02340/K02341/K02342/K02343/K03111/K03555/K03572/K03573/K03601/K03602/K03657/K06223/K07456/K07462/K07466/K10747,21
drought.t48,drought,t48,ko00281,Geraniol degradation, 11/2587,  11/2587,2.6781975654694632e-5,1.4648929108098123e-4,1.0977620005193814e-4,K00632/K01640/K01692/K01782/K01825/K11731/K12957/K13774/K13775/K13777/K13778,11
